,index,county,state,county_and_state_x,code,Deaths,Population,Crude Rate,fips,smoking,obesity,foodenv,exercise,noinsurance,physicians,pollution,diabetes,county_and_state_y,code2,sunlight,blow,ganj,smack
40,2602.0,,Rhode Island,,,,,,44000.0,14.0,27.0,8.3,95.0,5.0,96.0,6.6,10.0,,,,2.57875,19.95,0.4900000000000001
41,2649.0,,South Carolina,,,,,,45000.0,20.0,32.0,6.3,69.0,12.0,67.0,10.2,13.0,,,,1.4739999999999998,11.318,0.252
42,2745.0,,Tennessee,,,,,,47000.0,22.0,33.0,6.3,71.0,11.0,72.0,10.0,13.0,,,,1.48875,11.655,0.26875000000000004
43,2966.0,,Texas,,,,,,48000.0,14.0,29.0,6.0,80.0,19.0,60.0,8.8,10.0,,,,1.4725,10.0735,0.203
44,3025.0,,Utah,,,,,,49000.0,9.0,26.0,7.8,85.0,10.0,57.0,5.6,7.0,,,,0.8911111111111111,8.982222222222221,0.3255555555555555
45,3045.0,,Vermont,,,,,,50000.0,17.0,26.0,8.8,75.0,5.0,113.0,6.5,8.0,,,,2.884,20.660000000000004,0.7439999999999999
46,3084.0,,Washington,,,,,,53000.0,14.0,28.0,8.1,87.0,7.0,82.0,7.4,9.0,,,,1.7833333333333332,18.583333333333336,0.4625
47,3141.0,,West Virginia,,,,,,54000.0,25.0,36.0,6.9,60.0,7.0,79.0,9.6,14.0,,,,1.2871428571428574,10.989999999999998,0.4985714285714286
48,3213.0,,Wisconsin,,,,,,55000.0,17.0,31.0,8.8,86.0,6.0,80.0,8.6,9.0,,,,1.477142857142857,12.271428571428574,0.33285714285714285
49,3237.0,,Wyoming,,,,,,56000.0,19.0,29.0,6.9,76.0,13.0,68.0,4.8,9.0,,,,1.331,10.965,0.23399999999999999
99,,"District of Columbia, DC",District of Columbia,"District of Columbia, DC",11001.0,1752.0,681170.0,257.2,,,,,,,,,,"District of Columbia, DC",11001.0,15265.36,3.4255555555555555,24.177777777777766,0.4722222222222222
