"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	17	25214	67.4 (Unreliable)
	"Calhoun County, AL"	"01015"	20	13775	145.2
	"Etowah County, AL"	"01055"	15	12684	118.3 (Unreliable)
	"Houston County, AL"	"01069"	11	12919	85.1 (Unreliable)
	"Jefferson County, AL"	"01073"	63	83192	75.7
	"Madison County, AL"	"01089"	27	43028	62.7
	"Mobile County, AL"	"01097"	36	49311	73.0
	"Montgomery County, AL"	"01101"	21	28877	72.7
	"Shelby County, AL"	"01117"	10	29681	33.7 (Unreliable)
	"Tuscaloosa County, AL"	"01125"	16	24398	65.6 (Unreliable)
	"Walker County, AL"	"01127"	15	7626	196.7 (Unreliable)
	"Anchorage Borough, AK"	"02020"	16	37753	42.4 (Unreliable)
	"Maricopa County, AZ"	"04013"	115	551926	20.8
	"Pima County, AZ"	"04019"	26	113760	22.9
	"Pinal County, AZ"	"04021"	12	54400	22.1 (Unreliable)
	"Craighead County, AR"	"05031"	15	13378	112.1 (Unreliable)
	"Jefferson County, AR"	"05069"	10	8034	124.5 (Unreliable)
	"Pulaski County, AR"	"05119"	45	50062	89.9
	"Sebastian County, AR"	"05131"	11	15566	70.7 (Unreliable)
	"Washington County, AR"	"05143"	18	29380	61.3 (Unreliable)
	"Alameda County, CA"	"06001"	60	243703	24.6
	"Contra Costa County, CA"	"06013"	26	151259	17.2
	"Fresno County, CA"	"06019"	37	119919	30.9
	"Kern County, CA"	"06029"	47	110791	42.4
	"Los Angeles County, CA"	"06037"	364	1383875	26.3
	"Merced County, CA"	"06047"	11	32676	33.7 (Unreliable)
	"Monterey County, CA"	"06053"	19	56263	33.8 (Unreliable)
	"Orange County, CA"	"06059"	89	413930	21.5
	"Riverside County, CA"	"06065"	68	301953	22.5
	"Sacramento County, CA"	"06067"	53	196313	27.0
	"San Bernardino County, CA"	"06071"	67	272503	24.6
	"San Diego County, CA"	"06073"	76	434708	17.5
	"San Francisco County, CA"	"06075"	23	136667	16.8
	"San Joaquin County, CA"	"06077"	27	93591	28.8
	"San Mateo County, CA"	"06081"	10	109554	9.1 (Unreliable)
	"Santa Clara County, CA"	"06085"	41	278226	14.7
	"Solano County, CA"	"06095"	12	53611	22.4 (Unreliable)
	"Sonoma County, CA"	"06097"	14	61270	22.8 (Unreliable)
	"Stanislaus County, CA"	"06099"	24	67634	35.5
	"Tulare County, CA"	"06107"	21	57021	36.8
	"Ventura County, CA"	"06111"	13	105013	12.4 (Unreliable)
	"Adams County, CO"	"08001"	19	71924	26.4 (Unreliable)
	"Arapahoe County, CO"	"08005"	18	89501	20.1 (Unreliable)
	"Boulder County, CO"	"08013"	10	40288	24.8 (Unreliable)
	"Denver County, CO"	"08031"	17	108278	15.7 (Unreliable)
	"El Paso County, CO"	"08041"	34	85245	39.9
	"Jefferson County, CO"	"08059"	17	74161	22.9 (Unreliable)
	"Pueblo County, CO"	"08101"	11	19097	57.6 (Unreliable)
	"Fairfield County, CT"	"09001"	27	118653	22.8
	"Hartford County, CT"	"09003"	25	108133	23.1
	"New Haven County, CT"	"09009"	19	100344	18.9 (Unreliable)
	"Kent County, DE"	"10001"	13	20070	64.8 (Unreliable)
	"New Castle County, DE"	"10003"	15	68049	22.0 (Unreliable)
	"Sussex County, DE"	"10005"	16	21306	75.1 (Unreliable)
	"District of Columbia, DC"	"11001"	32	98889	32.4
	"Alachua County, FL"	"12001"	10	27782	36.0 (Unreliable)
	"Bay County, FL"	"12005"	12	21854	54.9 (Unreliable)
	"Brevard County, FL"	"12009"	19	58564	32.4 (Unreliable)
	"Broward County, FL"	"12011"	50	252740	19.8
	"Clay County, FL"	"12019"	12	26498	45.3 (Unreliable)
	"Duval County, FL"	"12031"	58	115996	50.0
	"Escambia County, FL"	"12033"	14	33610	41.7 (Unreliable)
	"Hernando County, FL"	"12053"	10	18142	55.1 (Unreliable)
	"Hillsborough County, FL"	"12057"	68	184953	36.8
	"Lake County, FL"	"12069"	10	35836	27.9 (Unreliable)
	"Lee County, FL"	"12071"	33	74540	44.3
	"Leon County, FL"	"12073"	11	30634	35.9 (Unreliable)
	"Marion County, FL"	"12083"	18	33710	53.4 (Unreliable)
	"Miami-Dade County, FL"	"12086"	93	375824	24.7
	"Orange County, FL"	"12095"	46	184099	25.0
	"Osceola County, FL"	"12097"	20	47774	41.9
	"Palm Beach County, FL"	"12099"	43	164593	26.1
	"Pasco County, FL"	"12101"	29	61267	47.3
	"Pinellas County, FL"	"12103"	33	104483	31.6
	"Polk County, FL"	"12105"	34	77862	43.7
	"St. Johns County, FL"	"12109"	11	29702	37.0 (Unreliable)
	"St. Lucie County, FL"	"12111"	12	33328	36.0 (Unreliable)
	"Seminole County, FL"	"12117"	12	60580	19.8 (Unreliable)
	"Volusia County, FL"	"12127"	26	54872	47.4
	"Bibb County, GA"	"13021"	17	17719	95.9 (Unreliable)
	"Chatham County, GA"	"13051"	23	35098	65.5
	"Cherokee County, GA"	"13057"	13	34270	37.9 (Unreliable)
	"Clarke County, GA"	"13059"	10	13898	72.0 (Unreliable)
	"Clayton County, GA"	"13063"	24	37524	64.0
	"Cobb County, GA"	"13067"	43	107454	40.0
	"DeKalb County, GA"	"13089"	37	106717	34.7
	"Fulton County, GA"	"13121"	39	148027	26.3
	"Gwinnett County, GA"	"13135"	39	134415	29.0
	"Henry County, GA"	"13151"	11	31311	35.1 (Unreliable)
	"Muscogee County, GA"	"13215"	22	24738	88.9
	"Richmond County, GA"	"13245"	18	22725	79.2 (Unreliable)
	"Walker County, GA"	"13295"	12	8814	136.1 (Unreliable)
	"Hawaii County, HI"	"15001"	13	22738	57.2 (Unreliable)
	"Honolulu County, HI"	"15003"	48	124211	38.6
	"Ada County, ID"	"16001"	10	61122	16.4 (Unreliable)
	"Canyon County, ID"	"16027"	12	26891	44.6 (Unreliable)
	"Cook County, IL"	"17031"	235	702610	33.4
	"DuPage County, IL"	"17043"	12	118859	10.1 (Unreliable)
	"Lake County, IL"	"17097"	17	88458	19.2 (Unreliable)
	"McHenry County, IL"	"17111"	13	39084	33.3 (Unreliable)
	"Peoria County, IL"	"17143"	10	22411	44.6 (Unreliable)
	"St. Clair County, IL"	"17163"	14	33257	42.1 (Unreliable)
	"Sangamon County, IL"	"17167"	10	23977	41.7 (Unreliable)
	"Will County, IL"	"17197"	22	95716	23.0
	"Winnebago County, IL"	"17201"	15	33904	44.2 (Unreliable)
	"Allen County, IN"	"18003"	21	45684	46.0
	"Lake County, IN"	"18089"	24	60909	39.4
	"Marion County, IN"	"18097"	55	119995	45.8
	"St. Joseph County, IN"	"18141"	13	31606	41.1 (Unreliable)
	"Polk County, IA"	"19153"	19	63511	29.9 (Unreliable)
	"Sedgwick County, KS"	"20173"	23	61581	37.3
	"Daviess County, KY"	"21059"	10	11877	84.2 (Unreliable)
	"Fayette County, KY"	"21067"	20	41395	48.3
	"Jefferson County, KY"	"21111"	54	95519	56.5
	"Bossier Parish, LA"	"22015"	11	16491	66.7 (Unreliable)
	"Caddo Parish, LA"	"22017"	21	29703	70.7
	"Calcasieu Parish, LA"	"22019"	17	24022	70.8 (Unreliable)
	"East Baton Rouge Parish, LA"	"22033"	29	52053	55.7
	"Iberia Parish, LA"	"22045"	12	8256	145.3 (Unreliable)
	"Jefferson Parish, LA"	"22051"	34	54090	62.9
	"Orleans Parish, LA"	"22071"	24	51363	46.7
	"Ouachita Parish, LA"	"22073"	16	19273	83.0 (Unreliable)
	"Rapides Parish, LA"	"22079"	21	15736	133.5
	"St. Landry Parish, LA"	"22097"	12	9190	130.6 (Unreliable)
	"Anne Arundel County, MD"	"24003"	32	73764	43.4
	"Baltimore County, MD"	"24005"	41	100113	41.0
	"Charles County, MD"	"24017"	10	20417	49.0 (Unreliable)
	"Montgomery County, MD"	"24031"	20	143442	13.9
	"Prince George's County, MD"	"24033"	51	121846	41.9
	"Washington County, MD"	"24043"	11	18630	59.0 (Unreliable)
	"Baltimore city, MD"	"24510"	37	74274	49.8
	"Bristol County, MA"	"25005"	13	68386	19.0 (Unreliable)
	"Essex County, MA"	"25009"	11	92103	11.9 (Unreliable)
	"Hampden County, MA"	"25013"	15	53279	28.2 (Unreliable)
	"Middlesex County, MA"	"25017"	34	207226	16.4
	"Plymouth County, MA"	"25023"	11	59177	18.6 (Unreliable)
	"Suffolk County, MA"	"25025"	18	100445	17.9 (Unreliable)
	"Worcester County, MA"	"25027"	21	99133	21.2
	"Bay County, MI"	"26017"	10	11862	84.3 (Unreliable)
	"Genesee County, MI"	"26049"	32	48490	66.0
	"Ingham County, MI"	"26065"	12	31424	38.2 (Unreliable)
	"Kent County, MI"	"26081"	19	78578	24.2 (Unreliable)
	"Macomb County, MI"	"26099"	37	106230	34.8
	"Oakland County, MI"	"26125"	49	154786	31.7
	"Saginaw County, MI"	"26145"	15	21042	71.3 (Unreliable)
	"Washtenaw County, MI"	"26161"	11	41230	26.7 (Unreliable)
	"Wayne County, MI"	"26163"	152	210183	72.3
