GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC18
Id,Id2,Geography,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent bachelor's degree or higher
0500000US48121,48121,"Denton County, Texas",30.4,15.7,46.1
0500000US48135,48135,"Ector County, Texas",10.4,3.4,13.9
0500000US48139,48139,"Ellis County, Texas",15.5,6.6,22.1
0500000US48141,48141,"El Paso County, Texas",15,7.9,22.9
0500000US48157,48157,"Fort Bend County, Texas",28.5,18.2,46.7
0500000US48167,48167,"Galveston County, Texas",20,11.2,31.2
0500000US48181,48181,"Grayson County, Texas",13.7,6.3,19.9
0500000US48183,48183,"Gregg County, Texas",13.3,5.3,18.6
0500000US48187,48187,"Guadalupe County, Texas",17.2,9.7,26.9
0500000US48201,48201,"Harris County, Texas",19.7,11.1,30.7
0500000US48203,48203,"Harrison County, Texas",13.6,5.7,19.3
0500000US48209,48209,"Hays County, Texas",25.6,13.7,39.3
0500000US48213,48213,"Henderson County, Texas",9.5,7.7,17.2
0500000US48215,48215,"Hidalgo County, Texas",13.3,5.4,18.7
0500000US48231,48231,"Hunt County, Texas",14.5,9.3,23.8
0500000US48245,48245,"Jefferson County, Texas",12.8,6.1,18.9
0500000US48251,48251,"Johnson County, Texas",13.1,5.4,18.5
0500000US48257,48257,"Kaufman County, Texas",14.2,8.3,22.5
0500000US48291,48291,"Liberty County, Texas",5.8,1.5,7.3
0500000US48303,48303,"Lubbock County, Texas",18.9,11,29.9
0500000US48309,48309,"McLennan County, Texas",16.4,8.2,24.6
0500000US48329,48329,"Midland County, Texas",20.4,7.3,27.7
0500000US48339,48339,"Montgomery County, Texas",22.1,11,33.1
0500000US48347,48347,"Nacogdoches County, Texas",14.4,9.8,24.2
0500000US48355,48355,"Nueces County, Texas",13.6,7.4,21
0500000US48361,48361,"Orange County, Texas",12.5,2.6,15.1
0500000US48367,48367,"Parker County, Texas",18.8,7.6,26.4
0500000US48375,48375,"Potter County, Texas",10.7,5.3,16.1
0500000US48381,48381,"Randall County, Texas",22.4,8.7,31
0500000US48397,48397,"Rockwall County, Texas",25.6,17,42.6
0500000US48409,48409,"San Patricio County, Texas",7.9,5.8,13.7
